id,lat,lon,timestamp,source_url,license,name,kind,description
wd-Q41210951-ranieri-gerbi,43.83808365,10.7160901,1763-07-16T00:00:00Z,https://www.wikidata.org/wiki/Q41210951,CC-BY-SA-4.0,Ranieri Gerbi,physicist,"academic (1783 - 1839), member of the Accademia delle Scienze di Torino since 1820"
wd-Q41568727-nicola-cavalieri-san-bertolo,42.1,11.8,1788-12-30T00:00:00Z,https://www.wikidata.org/wiki/Q41568727,CC-BY-SA-4.0,Nicola Cavalieri San Bertolo,physicist,(1788-1867)
wd-Q41568834-giovanni-alberto-colombo,45.439722222,12.331944444,1708-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q41568834,CC-BY-SA-4.0,Giovanni Alberto Colombo,physicist,(1708-1777)
wd-Q41617410-aim-henri-paulian,43.838333333,4.359722222,1722-07-23T00:00:00Z,https://www.wikidata.org/wiki/Q41617410,CC-BY-SA-4.0,Aimé Henri Paulian,physicist,(1722-1801)
wd-Q41618886-pietro-zuliani,46.183333333,13.3,1739-11-30T00:00:00Z,https://www.wikidata.org/wiki/Q41618886,CC-BY-SA-4.0,Pietro Zuliani,physicist,Italian physicist and abbot (1739-1804)
wd-Q41805829-pietro-configliachi,45.466944444,9.19,1777-11-07T00:00:00Z,https://www.wikidata.org/wiki/Q41805829,CC-BY-SA-4.0,Pietro Configliachi,physicist,"academic (1777 - 1844), member of the Accademia delle Scienze di Torino since 1820"
wd-Q43379995-rosina-zornlin,51.584,-0.0211,1795-12-06T00:00:00Z,https://www.wikidata.org/wiki/Q43379995,CC-BY-SA-4.0,Rosina Zornlin,physicist,British author
wd-Q44192771-friedrich-zu-salm-horstmar,51.945833333,7.1675,1799-03-11T00:00:00Z,https://www.wikidata.org/wiki/Q44192771,CC-BY-SA-4.0,Friedrich zu Salm-Horstmar,physicist,German physicist and chemist (1799-1865)
wd-Q44862019-gustav-schadeloock,53.424722222,14.555277777,1732-07-27T00:00:00Z,https://www.wikidata.org/wiki/Q44862019,CC-BY-SA-4.0,Gustav Schadeloock,physicist,"German mathematician, philosopher, physicist and architect"
wd-Q46642531-peter-johann-hecker,53.338719,15.04475,1747-10-18T00:00:00Z,https://www.wikidata.org/wiki/Q46642531,CC-BY-SA-4.0,Peter Johann Hecker,physicist,
wd-Q46923532-pietro-petrini,43.933333333,10.916666666,1785-12-08T00:00:00Z,https://www.wikidata.org/wiki/Q46923532,CC-BY-SA-4.0,Pietro Petrini,physicist,Italian physicist (1785-1822)
wd-Q48168259-janez-krstnik-kersnik,46.4075,14.132222,1783-03-26T00:00:00Z,https://www.wikidata.org/wiki/Q48168259,CC-BY-SA-4.0,Janez Krstnik Kersnik,physicist,Slovene physicist
