id,lat,lon,timestamp,source_url,license,title,kind,description
wd-Q137266485-2025-beninese-coup-attempt,6.35,2.4,2025-12-07T00:00:00Z,https://www.wikidata.org/wiki/Q137266485,CC-BY-SA-4.0,2025 Beninese coup attempt,coup,thwarted coup in 7 Dec. 2025 when several soldiers of the Benin Armed Forces led by Pascal Tigri announced on national television the overthrow of the government
wd-Q137036104-2025-guinea-bissau-coup-d-tat,11.864,-15.585,2025-11-26T00:00:00Z,https://www.wikidata.org/wiki/Q137036104,CC-BY-SA-4.0,2025 Guinea-Bissau coup d'état,coup,military coup
wd-Q126913477-2024-bolivian-coup-attempt,-16.496111111,-68.133333333,2024-06-26T00:00:00Z,https://www.wikidata.org/wiki/Q126913477,CC-BY-SA-4.0,2024 Bolivian coup attempt,coup,military attempt to overthrow Luis Acre in La Paz
wd-Q117100709-2023-nigerien-coup-d-tat,13.515,2.1175,2023-07-26T00:00:00Z,https://www.wikidata.org/wiki/Q117100709,CC-BY-SA-4.0,2023 Nigerien coup d'état,coup,military coup against President Mohamed Bazoum
wd-Q116142348-2023-brazilian-congress-attack,-15.7997,-47.8641,2023-01-08T00:00:00Z,https://www.wikidata.org/wiki/Q116142348,CC-BY-SA-4.0,2023 Brazilian Congress attack,coup,storming of government buildings in Brasília
wd-Q115438612-2022-s-o-tom-and-pr-ncipe-coup-d-tat-attempt,0.33,6.73,2022-11-25T00:00:00Z,https://www.wikidata.org/wiki/Q115438612,CC-BY-SA-4.0,2022 São Tomé and Príncipe coup d'état attempt,coup,2022 storming
wd-Q110778876-2022-guinea-bissau-coup-d-tat-attempt,11.8592,-15.5956,2022-02-01T00:00:00Z,https://www.wikidata.org/wiki/Q110778876,CC-BY-SA-4.0,2022 Guinea-Bissau coup d'état attempt,coup,2022 coup d'état attempt in Guinea-Bissau
wd-Q109229068-2021-sudanese-coup-d-tat,15.502777777,32.5625,2021-10-25T00:00:00Z,https://www.wikidata.org/wiki/Q109229068,CC-BY-SA-4.0,2021 Sudanese coup d'état,coup,successful coup against the Sovereignty Council of Sudan
wd-Q108419092-2021-guinean-coup-d-tat,9.516666666,-13.7,2021-09-05T00:00:00Z,https://www.wikidata.org/wiki/Q108419092,CC-BY-SA-4.0,2021 Guinean coup d'état,coup,Guinean military coup in September 2021
wd-Q106305106-2021-niger-coup-d-tat-attempt,13.5167,2.1167,2021-03-31T00:00:00Z,https://www.wikidata.org/wiki/Q106305106,CC-BY-SA-4.0,2021 Niger coup d'état attempt,coup,2021 coup attempt in Niger
