id,lat,lon,timestamp,source_url,license,sponsor,country,application_number,brand,generic,route,dosage_form,pharm_class,marketing_status,submission_type
ANDA065447,NaN,NaN,2015-08-18T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=065447,openFDA-public,EPIC PHARMA LLC,??,ANDA065447,DEMECLOCYCLINE HYDROCHLORIDE,DEMECLOCYCLINE HYDROCHLORIDE,ORAL,TABLET,,Prescription,ORIG
ANDA040161,NaN,NaN,2015-03-05T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040161,openFDA-public,HIKMA PHARMS,??,ANDA040161,DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE HYDROCHLORIDE,ORAL,TABLET,,Prescription,SUPPL
ANDA040459,NaN,NaN,2002-08-01T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040459,openFDA-public,ABLE,??,ANDA040459,ACETAMINOPHEN AND CODEINE PHOSPHATE,ACETAMINOPHEN,ORAL,TABLET,,Discontinued,ORIG
ANDA040765,NaN,NaN,2023-08-03T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=040765,openFDA-public,AMNEAL PHARMS NY,??,ANDA040765,EXTENDED PHENYTOIN SODIUM,PHENYTOIN SODIUM,ORAL,CAPSULE,,Prescription,SUPPL
NDA050456,NaN,NaN,1995-11-01T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050456,openFDA-public,ALCON,??,NDA050456,STATROL,NEOMYCIN SULFATE,OPHTHALMIC,SOLUTION/DROPS,,Discontinued,SUPPL
NDA050804,40.4862,-74.4518,2012-10-02T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=050804,openFDA-public,BAUSCH AND LOMB,US,NDA050804,ZYLET,LOTEPREDNOL ETABONATE,OPHTHALMIC,SUSPENSION/DROPS,Aminoglycoside Antibacterial [EPC],Prescription,SUPPL
ANDA061725,NaN,NaN,1973-06-08T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=061725,openFDA-public,WARNER CHILCOTT,??,ANDA061725,CYCLOPAR,TETRACYCLINE HYDROCHLORIDE,ORAL,CAPSULE,,Discontinued,ORIG
ANDA062421,NaN,NaN,1990-06-29T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=062421,openFDA-public,ACTAVIS LABS FL INC,??,ANDA062421,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,ORAL,TABLET,,Prescription,SUPPL
ANDA062791,19.076,72.8777,1995-10-23T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=062791,openFDA-public,SUN PHARM INDS (IN),IN,ANDA062791,CEPHALEXIN,CEPHALEXIN,ORAL,CAPSULE,,Discontinued,SUPPL
ANDA064056,NaN,NaN,1994-04-29T00:00:00Z,https://www.accessdata.fda.gov/scripts/cder/daf/index.cfm?event=overview.process&ApplNo=064056,openFDA-public,COSETTE,??,ANDA064056,GENTAMICIN SULFATE,GENTAMICIN SULFATE,TOPICAL,CREAM,,Prescription,ORIG
