id,lat,lon,timestamp,source_url,license,provider,country_iso2,kind,title
world-history:wd-Q2656995-northwest-indian-war,41,-86,1785-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2656995,CC-BY-SA-4.0,world-history,US,war,Northwest Indian War
world-history:wd-Q7443152-second-carib-war,13.25,-61.2,1795-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q7443152,CC-BY-SA-4.0,world-history,GY,war,Second Carib War
world-history:wd-Q468293-first-barbary-war,32.958,13.164,1801-05-10T00:00:00Z,https://www.wikidata.org/wiki/Q468293,CC-BY-SA-4.0,world-history,MT,war,First Barbary War
world-history:wd-Q736268-finnish-war,62,22.966666666,1808-02-21T00:00:00Z,https://www.wikidata.org/wiki/Q736268,CC-BY-SA-4.0,world-history,FI,war,Finnish War
world-history:wd-Q10356223-platine-wars,-32.25,-59.5,1810-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q10356223,CC-BY-SA-4.0,world-history,UY,war,Platine Wars
world-history:wd-Q3063789-colombian-war-of-independence,5.4504,-73.4303,1810-07-20T00:00:00Z,https://www.wikidata.org/wiki/Q3063789,CC-BY-SA-4.0,world-history,CO,war,Colombian War of Independence
world-history:wd-Q325314-tecumseh-s-war,41,-90,1810-08-01T00:00:00Z,https://www.wikidata.org/wiki/Q325314,CC-BY-SA-4.0,world-history,US,war,Tecumseh's War
world-history:wd-Q2837436-battle-of-ayohuma,-18.855277777,-66.126666666,1813-11-14T00:00:00Z,https://www.wikidata.org/wiki/Q2837436,CC-BY-SA-4.0,world-history,BO,war,Battle of Ayohuma
world-history:wd-Q123171269-akure-benin-war,7.25,5.195,1818-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q123171269,CC-BY-SA-4.0,world-history,BJ,war,Akure–Benin War
world-history:wd-Q68478-peruvian-war-of-independence,-12.06,-77.0375,1821-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q68478,CC-BY-SA-4.0,world-history,PE,war,Peruvian War of Independence
world-history:wd-Q3082702-brazilian-war-of-independence,-14,-53,1822-01-09T00:00:00Z,https://www.wikidata.org/wiki/Q3082702,CC-BY-SA-4.0,world-history,BR,war,Brazilian War of Independence
world-history:wd-Q16573164-ochomogo-war,9.900155,-83.944142,1823-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q16573164,CC-BY-SA-4.0,world-history,CO,war,Ochomogo War
world-history:wd-Q722051-anglo-ashanti-wars,5.45,-0.97,1823-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q722051,CC-BY-SA-4.0,world-history,GH,war,Anglo-Ashanti wars
world-history:wd-Q7497420-shiners-war,45.417,-75.7,1835-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q7497420,CC-BY-SA-4.0,world-history,US,war,Shiners' War
world-history:wd-Q638530-texas-revolution,31,-100,1835-10-02T00:00:00Z,https://www.wikidata.org/wiki/Q638530,CC-BY-SA-4.0,world-history,MX,war,Texas Revolution
world-history:wd-Q698312-aroostook-war,45.5,-69,1838-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q698312,CC-BY-SA-4.0,world-history,US,war,Aroostook War
world-history:wd-Q772814-caste-war-of-yucat-n,19.5857,-87.984,1847-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q772814,CC-BY-SA-4.0,world-history,MX,war,Caste War of Yucatán
world-history:wd-Q6801418-mcgowan-s-war,49.5625,-121.4311111,1858-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q6801418,CC-BY-SA-4.0,world-history,CA,war,McGowan's War
world-history:wd-Q1064335-pig-war,48.46164167,-123.00661389,1859-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1064335,CC-BY-SA-4.0,world-history,CA,war,Pig War
world-history:wd-Q1352401-bombardment-of-kagoshima,31.595498,130.548134,1863-08-15T00:00:00Z,https://www.wikidata.org/wiki/Q1352401,CC-BY-SA-4.0,world-history,KR,war,Bombardment of Kagoshima
world-history:wd-Q184637-ten-years-war,21.5,-80,1868-10-10T00:00:00Z,https://www.wikidata.org/wiki/Q184637,CC-BY-SA-4.0,world-history,CO,war,Ten Years' War
world-history:wd-Q42326778-kake-war,56.970833333,-133.933888888,1869-02-01T00:00:00Z,https://www.wikidata.org/wiki/Q42326778,CC-BY-SA-4.0,world-history,CA,war,Kake War
world-history:wd-Q277450-aceh-war,4.59,97.41,1873-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q277450,CC-BY-SA-4.0,world-history,MY,war,Aceh War
world-history:wd-Q131191858-l-kur-s-war,42.766666666,20.816666666,1878-02-28T00:00:00Z,https://www.wikidata.org/wiki/Q131191858,CC-BY-SA-4.0,world-history,ME,war,Lëkurës War
world-history:wd-Q31944-mahdist-war,15,32,1881-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q31944,CC-BY-SA-4.0,world-history,SD,war,Mahdist War
world-history:wd-Q2350166-war-of-canudos,-9.963888888,-39.163888888,1893-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2350166,CC-BY-SA-4.0,world-history,BR,war,War of Canudos
world-history:wd-Q170850-anglo-zanzibar-war,-6.140555555,39.336547222,1896-08-27T00:00:00Z,https://www.wikidata.org/wiki/Q170850,CC-BY-SA-4.0,world-history,TZ,war,Anglo-Zanzibar War
world-history:wd-Q2887801-adibo-dali,9.3024,0.0198,1896-12-04T00:00:00Z,https://www.wikidata.org/wiki/Q2887801,CC-BY-SA-4.0,world-history,TG,war,Adibo dali
world-history:wd-Q137339918-adamawa-wars,5.15,12.45,1899-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q137339918,CC-BY-SA-4.0,world-history,CM,war,Adamawa Wars
world-history:wd-Q2606574-acre-war,-7.11416667,-73.80111111,1899-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2606574,CC-BY-SA-4.0,world-history,PE,war,Acre War
world-history:wd-Q1676845-boer-wars,-29,24,1899-10-11T00:00:00Z,https://www.wikidata.org/wiki/Q1676845,CC-BY-SA-4.0,world-history,ZA,war,Boer Wars
world-history:wd-Q16512674-herero-wars,-22,17,1904-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q16512674,CC-BY-SA-4.0,world-history,NA,war,Herero Wars
world-history:wd-Q4408946-sasun-uprising,38.3803,41.3953,1904-04-01T00:00:00Z,https://www.wikidata.org/wiki/Q4408946,CC-BY-SA-4.0,world-history,AM,war,Sasun Uprising
world-history:wd-Q134169831-q134169831,41.233938888,26.025030555,1913-08-08T00:00:00Z,https://www.wikidata.org/wiki/Q134169831,CC-BY-SA-4.0,world-history,BG,war,Q134169831
world-history:wd-Q1362238-world-war-i-outside-europe,-16.8,-153.95,1914-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1362238,CC-BY-SA-4.0,world-history,FJ,war,World War I outside Europe
world-history:wd-Q8064768-zaian-war,33.5,-4.5,1914-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q8064768,CC-BY-SA-4.0,world-history,MA,war,Zaian War
world-history:wd-Q18586347-first-soviet-finnish-war,61.193667,32.397624,1918-03-01T00:00:00Z,https://www.wikidata.org/wiki/Q18586347,CC-BY-SA-4.0,world-history,FI,war,First Soviet-Finnish War
world-history:wd-Q1127302-estonian-war-of-independence,57.776944444,26.031111111,1918-11-28T00:00:00Z,https://www.wikidata.org/wiki/Q1127302,CC-BY-SA-4.0,world-history,EE,war,Estonian War of Independence
world-history:wd-Q4560844-1920-jabal-al-gharbi-civil-war,31.8649,11.7933,1920-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q4560844,CC-BY-SA-4.0,world-history,TN,war,1920 Jabal al-Gharbi Civil War
world-history:wd-Q3358934-klaip-da-revolt,55.7125,21.135,1923-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q3358934,CC-BY-SA-4.0,world-history,LT,war,Klaipėda Revolt
world-history:wd-Q7304835-red-river-bridge-war,33.81833333,-96.52333333,1931-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q7304835,CC-BY-SA-4.0,world-history,US,war,Red River Bridge War
world-history:wd-Q696389-soviet-japanese-border-conflicts,47.7303,118.59,1932-03-01T00:00:00Z,https://www.wikidata.org/wiki/Q696389,CC-BY-SA-4.0,world-history,KP,war,Soviet–Japanese border conflicts
world-history:wd-Q223126-chaco-war,-21.32722222,-59.73666667,1932-09-09T00:00:00Z,https://www.wikidata.org/wiki/Q223126,CC-BY-SA-4.0,world-history,PY,war,Chaco War
world-history:wd-Q652285-indo-pakistani-war-of-1947-1948,34.5,76,1947-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q652285,CC-BY-SA-4.0,world-history,TJ,war,Indo-Pakistani War of 1947–1948
world-history:wd-Q1413732-kashmir-conflict,34.0333,74.6667,1947-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q1413732,CC-BY-SA-4.0,world-history,TJ,war,Kashmir conflict
world-history:wd-Q1542222-1958-lebanon-crisis,33.83333,35.76667,1958-07-15T00:00:00Z,https://www.wikidata.org/wiki/Q1542222,CC-BY-SA-4.0,world-history,LB,war,1958 Lebanon crisis
world-history:wd-Q1282732-guatemalan-civil-war,14.633333333,-90.5,1965-03-03T00:00:00Z,https://www.wikidata.org/wiki/Q1282732,CC-BY-SA-4.0,world-history,MX,war,Guatemalan Civil War
world-history:wd-Q322607-war-of-attrition,29.5,33.83333333,1967-07-01T00:00:00Z,https://www.wikidata.org/wiki/Q322607,CC-BY-SA-4.0,world-history,IL,war,War of Attrition
world-history:wd-Q4574793-1971-in-the-vietnam-war,11.195,104.074,1971-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q4574793,CC-BY-SA-4.0,world-history,KH,war,1971 in the Vietnam War
