id,lat,lon,timestamp,source_url,license,title,country,description
wd-Q128795163-louisiana-constitution-of-1898,30.4475,-91.178611111,1898-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795163,CC-BY-SA-4.0,Louisiana Constitution of 1898,Louisiana,"constitution of the state of Louisiana, US"
wd-Q5164160-alabama-state-constitution-of-1901,32.3675,-86.3,1901-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q5164160,CC-BY-SA-4.0,Alabama State Constitution of 1901,Alabama,1901 constitution of the American state of Alabama
wd-Q128810170-virginia-constitution-of-1902,37.540833333,-77.436666666,1902-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128810170,CC-BY-SA-4.0,Virginia Constitution of 1902,Virginia,constitution of the US state of Virginia
wd-Q128813321-michigan-constitution-of-1908,42.7335,-84.5467,1908-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128813321,CC-BY-SA-4.0,Michigan Constitution of 1908,Michigan,constitution of the US state of Michigan
wd-Q5164164-constitution-of-arizona,33.448333333,-112.073888888,1910-12-09T00:00:00Z,https://www.wikidata.org/wiki/Q5164164,CC-BY-SA-4.0,Constitution of Arizona,Arizona,governing document and framework for the U.S. state of Arizona
wd-Q128795165-louisiana-constitution-of-1913,29.976111111,-90.078333333,1913-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795165,CC-BY-SA-4.0,Louisiana Constitution of 1913,Louisiana,"constitution of the state of Louisiana, US"
wd-Q128795165-louisiana-constitution-of-1913,30.4475,-91.178611111,1913-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795165,CC-BY-SA-4.0,Louisiana Constitution of 1913,Louisiana,"constitution of the state of Louisiana, US"
wd-Q5320066-d-il-constitution,53.349722222,-6.260277777,1919-01-21T00:00:00Z,https://www.wikidata.org/wiki/Q5320066,CC-BY-SA-4.0,Dáil Constitution,Irish Republic,historical constitution that was used from 1919 to 1922
wd-Q1418048-constitution-act-of-finland,60.170833333,24.9375,1919-07-17T00:00:00Z,https://www.wikidata.org/wiki/Q1418048,CC-BY-SA-4.0,Constitution Act of Finland,Finland,constitutional act in Finland in 1919–2000
wd-Q128795167-louisiana-constitution-of-1921,29.976111111,-90.078333333,1921-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795167,CC-BY-SA-4.0,Louisiana Constitution of 1921,Louisiana,"constitution of the state of Louisiana, US"
wd-Q128795167-louisiana-constitution-of-1921,30.4475,-91.178611111,1921-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q128795167,CC-BY-SA-4.0,Louisiana Constitution of 1921,Louisiana,"constitution of the state of Louisiana, US"
wd-Q2515419-constitution-of-the-irish-free-state,53.349722222,-6.260277777,1922-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q2515419,CC-BY-SA-4.0,Constitution of the Irish Free State,Irish Free State,historical constitution that was used from 1922 to 1937
wd-Q4231536-russian-constitution-of-1925,55.750555555,37.6175,1925-01-01T00:00:00Z,https://www.wikidata.org/wiki/Q4231536,CC-BY-SA-4.0,Russian Constitution of 1925,Russia,
